Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-26,AF,Afghanistan,EMRO,0,0,0,0
2020-02-02,AF,Afghanistan,EMRO,0,0,0,0
2020-02-09,AF,Afghanistan,EMRO,0,0,0,0
2020-02-16,AF,Afghanistan,EMRO,0,0,0,0
2020-02-23,AF,Afghanistan,EMRO,0,0,0,0
2020-03-01,AF,Afghanistan,EMRO,1,1,0,0
2020-03-08,AF,Afghanistan,EMRO,0,1,0,0
2020-03-15,AF,Afghanistan,EMRO,6,7,0,0
2020-03-22,AF,Afghanistan,EMRO,17,24,0,0
2020-03-29,AF,Afghanistan,EMRO,67,91,2,2
2020-04-05,AF,Afghanistan,EMRO,183,274,3,5
2020-04-12,AF,Afghanistan,EMRO,247,521,10,15
2020-04-19,AF,Afghanistan,EMRO,387,908,15,30
2020-04-26,AF,Afghanistan,EMRO,422,1330,13,43
2020-05-03,AF,Afghanistan,EMRO,841,2171,21,64
2020-05-10,AF,Afghanistan,EMRO,1392,3563,41,105
2020-05-17,AF,Afghanistan,EMRO,2490,6053,48,153
2020-05-24,AF,Afghanistan,EMRO,3813,9866,58,211
2020-05-31,AF,Afghanistan,EMRO,4577,14443,37,248
2020-06-07,AF,Afghanistan,EMRO,5108,19551,79,327
2020-06-14,AF,Afghanistan,EMRO,4551,24102,124,451
2020-06-21,AF,Afghanistan,EMRO,4195,28297,97,548
2020-01-26,BD,Bangladesh,SEARO,0,0,0,0
2020-02-02,BD,Bangladesh,SEARO,0,0,0,0
2020-02-09,BD,Bangladesh,SEARO,0,0,0,0
2020-02-16,BD,Bangladesh,SEARO,0,0,0,0
2020-02-23,BD,Bangladesh,SEARO,0,0,0,0
2020-03-01,BD,Bangladesh,SEARO,0,0,0,0
2020-03-08,BD,Bangladesh,SEARO,3,3,0,0
2020-03-15,BD,Bangladesh,SEARO,4,7,0,0
2020-03-22,BD,Bangladesh,SEARO,17,24,2,2
2020-03-29,BD,Bangladesh,SEARO,24,48,3,5
2020-04-05,BD,Bangladesh,SEARO,40,88,3,8
2020-04-12,BD,Bangladesh,SEARO,533,621,26,34
2020-04-19,BD,Bangladesh,SEARO,1835,2456,57,91
2020-04-26,BD,Bangladesh,SEARO,2960,5416,54,145
2020-05-03,BD,Bangladesh,SEARO,4039,9455,32,177
2020-05-10,BD,Bangladesh,SEARO,5202,14657,51,228
2020-05-17,BD,Bangladesh,SEARO,7611,22268,100,328
2020-05-24,BD,Bangladesh,SEARO,11342,33610,152,480
2020-05-31,BD,Bangladesh,SEARO,13543,47153,170,650
2020-06-07,BD,Bangladesh,SEARO,18616,65769,238,888
2020-06-14,BD,Bangladesh,SEARO,21751,87520,283,1171
2020-06-21,BD,Bangladesh,SEARO,24786,112306,293,1464
2020-01-26,IN,India,SEARO,0,0,0,0
2020-02-02,IN,India,SEARO,2,2,0,0
2020-02-09,IN,India,SEARO,5,7,0,0
2020-02-16,IN,India,SEARO,0,7,0,0
2020-02-23,IN,India,SEARO,0,7,0,0
2020-03-01,IN,India,SEARO,0,7,0,0
2020-03-08,IN,India,SEARO,32,39,0,0
2020-03-15,IN,India,SEARO,68,107,2,2
2020-03-22,IN,India,SEARO,253,360,5,7
2020-03-29,IN,India,SEARO,619,979,18,25
2020-04-05,IN,India,SEARO,2395,3374,52,77
2020-04-12,IN,India,SEARO,4982,8356,196,273
2020-04-19,IN,India,SEARO,7356,15712,234,507
2020-04-26,IN,India,SEARO,10784,26496,317,824
2020-05-03,IN,India,SEARO,13484,39980,477,1301
2020-05-10,IN,India,SEARO,22959,62939,808,2109
2020-05-17,IN,India,SEARO,27988,90927,763,2872
2020-05-24,IN,India,SEARO,40941,131868,995,3867
2020-05-31,IN,India,SEARO,50275,182143,1297,5164
2020-06-07,IN,India,SEARO,64485,246628,1765,6929
2020-06-14,IN,India,SEARO,74294,320922,2266,9195
2020-06-21,IN,India,SEARO,89539,410461,4059,13254
2020-01-26,PK,Pakistan,EMRO,0,0,0,0
2020-02-02,PK,Pakistan,EMRO,0,0,0,0
2020-02-09,PK,Pakistan,EMRO,0,0,0,0
2020-02-16,PK,Pakistan,EMRO,0,0,0,0
2020-02-23,PK,Pakistan,EMRO,0,0,0,0
2020-03-01,PK,Pakistan,EMRO,2,2,0,0
2020-03-08,PK,Pakistan,EMRO,4,6,0,0
2020-03-15,PK,Pakistan,EMRO,15,21,0,0
2020-03-22,PK,Pakistan,EMRO,440,461,2,2
2020-03-29,PK,Pakistan,EMRO,774,1235,7,9
2020-04-05,PK,Pakistan,EMRO,1215,2450,26,35
2020-04-12,PK,Pakistan,EMRO,2245,4695,31,66
2020-04-19,PK,Pakistan,EMRO,2330,7025,69,135
2020-04-26,PK,Pakistan,EMRO,4915,11940,118,253
2020-05-03,PK,Pakistan,EMRO,5759,17699,155,408
2020-05-10,PK,Pakistan,EMRO,8736,26435,191,599
2020-05-17,PK,Pakistan,EMRO,10783,37218,204,803
2020-05-24,PK,Pakistan,EMRO,15219,52437,298,1101
2020-05-31,PK,Pakistan,EMRO,14020,66457,294,1395
2020-06-07,PK,Pakistan,EMRO,27526,93983,540,1935
2020-06-14,PK,Pakistan,EMRO,38422,132405,616,2551
2020-06-21,PK,Pakistan,EMRO,39261,171666,831,3382
